model,compressor,refrigerant,ambient,btuh_35,btuh,cond_temp,voltage,required_addon1,required_addon2,required_addon3,required_addon4,notes
M6GP-H064-CAV-177,RST45C1E,R404,100,,6240,125,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R404,110,,6490,134,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R407C,90,,6840,121,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R407C,100,,6240,129,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R407C,110,,5660,138,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R448,90,,7120,121,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R448,100,,6500,130,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R448,110,,5840,138,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R404,90,,6930,117,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R404,100,,6240,125,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R404,110,,6490,134,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R407C,90,,6840,121,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R407C,100,,6240,129,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAA-177,RST45C1E,R407C,110,,5660,138,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6KP-0075-CFA-072,RST55C1E,R448,90,,8650,125,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R448,100,,7900,133,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R448,110,,7260,140,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R404,90,,8310,121,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R404,100,,7510,129,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R404,110,,6660,137,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R407C,90,,8330,124,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R407C,100,,7640,132,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CFA-072,RST55C1E,R407C,110,,6910,140,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R448,90,,8650,125,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R448,100,,7900,133,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R448,110,,7260,140,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R404,90,,8310,,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R404,100,,7510,,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R404,110,,6660,,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R407C,90,,8330,,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R407C,100,,7640,,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0075-CAV-072,RST55C1E,R407C,110,,6910,,230,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R448,90,,10120,131,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R448,100,,9270,139,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R448,110,,no,no,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R404,90,,9560,127,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R404,100,,8670,134,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R404,110,,NO,NO,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
M6KP-0092-CFA-072,RST64C1E,R407C,90,,9650,129,115,,"Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,Unit comes with EUC controller (low pressure control)
